freq_rank,lemma
1,know
2,just
3,there
4,here
5,like
6,get
7,go
8,right
9,now
10,come
11,well
12,got
13,want
14,think
15,see
16,good
17,time
18,back
19,look
20,take
21,then
22,tell
23,real
24,man
25,say
26,ne
27,something
28,too
29,more
30,way
31,make
32,very
33,never
34,on
35,people
36,little
37,please
38,love
39,mean
40,said
41,sorry
42,give
43,thank
44,two
45,even
46,do
47,sure
48,th
49,help
50,first
51,anything
52,still
53,find
54,life
55,nothing
56,sir
57,day
58,god
59,work
60,again
61,maybe
62,other
63,wait
64,stop
65,call
66,won
67,talk
68,away
69,thought
70,home
71,night
72,put
73,great
74,last
75,better
76,everything
77,told
78,new
79,alway
80,keep
81,long
82,year
83,leave
84,money
85,name
86,place
87,ever
88,feel
89,guy
90,father
91,made
92,old
93,big
94,lot
95,hello
96,nice
97,believe
98,girl
99,someone
100,fine
101,kind
102,house
103,course
104,stay
105,left
106,dad
107,enough
108,happen
109,came
110,mother
111,wrong
112,world
113,bad
114,three
115,today
116,listen
117,another
118,understand
119,hear
120,remember
121,ask
122,same
123,show
124,else
125,kill
126,found
127,next
128,care
129,car
130,son
131,try
132,woman
133,went
134,dead
135,mind
136,friend
137,best
138,mom
139,hell
140,morn
141,boy
142,together
143,job
144,saw
145,family
146,baby
147,room
148,already
149,move
150,most
151,seen
152,live
153,miss
154,actual
155,shit
156,heard
157,ready
158,head
159,us
160,idea
161,knew
162,hold
163,happy
164,door
165,fuck
166,brother
167,also
168,pretty
169,bit
170,took
171,men
172,whole
173,start
174,use
175,wife
176,guess
177,tomorrow
178,matter
179,meet
180,br
181,tonight
182,everyone
183,run
184,hard
185,alone
186,school
187,gone
188,end
189,phone
190,play
191,problem
192,ago
193,open
194,anyone
195,hope
196,face
197,lost
198,police
199,excuse
200,turn
201,business
202,case
203,true
204,die
205,heart
206,soon
207,worry
208,later
209,watch
210,music
211,hand
212,probably
213,beautiful
214,doctor
215,sit
216,eat
217,young
218,second
219,water
220,person
221,part
222,kid
223,late
224,stuff
225,exact
226,death
227,minute
228,pay
229,crazy
230,forget
231,everybody
232,change
233,gave
234,damn
235,five
236,drink
237,far
238,whatever
239,ey
240,shut
241,hit
242,easy
243,check
244,deal
245,different
246,point
247,inside
248,somebody
249,body
250,afraid
251,sleep
252,chance
253,dear
254,quite
255,four
256,anyway
257,close
258,party
259,fun
260,word
261,important
262,set
263,story
264,number
265,daughter
266,least
267,hurt
268,wish
269,moment
270,fight
271,week
272,husband
273,rest
274,marry
275,fire
276,game
277,nobody
278,mr
279,children
280,side
281,stand
282,read
283,cut
284,sister
285,suppos
286,child
287,hour
288,speak
289,women
290,almost
291,truth
292,blood
293,able
294,lady
295,anymore
296,shot
297,reason
298,trouble
299,break
300,war
301,city
302,walk
303,town
304,trust
305,met
306,office
307,question
308,brought
309,welcome
310,high
311,couple
312,half
313,cool
314,free
315,either
316,seem
317,power
318,bye
319,buy
320,honey
321,front
322,team
323,answer
324,gun
325,line
326,send
327,stupid
328,be
329,hurry
330,full
331,month
332,save
333,sometime
334,become
335,hate
336,food
337,outside
338,light
339,dog
340,country
341,clear
342,order
343,fact
344,lord
345,captain
346,six
347,hot
348,funny
349,black
350,alive
351,pick
352,cause
353,ahead
354,lose
355,king
356,plan
357,dinner
358,sigh
359,sort
360,boss
361,alright
362,promise
363,taken
364,safe
365,ma
366,book
367,sent
368,white
369,anybody
370,small
371,perfect
372,special
373,parent
374,john
